colocação,jogador,escalações,rodada,ano
13,Bruno Henrique (FLA),934617,13,2019
14,Éverson (SAN),920059,13,2019
15,Cazares (ATL),834890,13,2019
16,Marrony (VAS),815799,13,2019
17,Gustavo Henrique (SAN),711348,13,2019
18,Lucas Veríssimo (SAN),708530,13,2019
19,Gatito Fernández (BOT),691476,13,2019
20,Thiago Galhardo (CEA),651767,13,2019
1,Arrascaeta (FLA),2396430,14,2019
2,Bruno Henrique (FLA),2081259,14,2019
3,Dudu (PAL),1813426,14,2019
4,Dedé (CRU),1698022,14,2019
5,Cazares (ATL),1662936,14,2019
6,Paolo Guerrero (INT),1378058,14,2019
7,Thiago Galhardo (CEA),1326705,14,2019
8,Rafinha (FLA),1117284,14,2019
9,Marcos Rocha (PAL),1092883,14,2019
10,Víctor Cuesta (INT),999420,14,2019
11,Diogo Barbosa (PAL),934308,14,2019
12,Luan (PAL),866741,14,2019
13,Luiz Felipe Scolari (PAL),864431,14,2019
14,Soteldo (SAN),672504,14,2019
15,Gerson (FLA),649878,14,2019
16,Tadeu (GOI),564284,14,2019
17,Rodrigo Moledo (INT),546178,14,2019
18,Everton Ribeiro (FLA),535190,14,2019
19,Jorge (SAN),534961,14,2019
20,Filipe Luís (FLA),531572,14,2019
1,Yony González (FLU),2487976,15,2019
2,Arrascaeta (FLA),2137312,15,2019
3,Gilberto (BAH),1996998,15,2019
4,Daniel Alves (SAO),1777461,15,2019
5,Gabriel (FLA),1575469,15,2019
6,Fernando Diniz (FLU),1362646,15,2019
7,Carlos Sánchez (SAN),1166468,15,2019
8,Everaldo (CHA),1163455,15,2019
9,Gil (COR),1144348,15,2019
10,Pedrinho (COR),1074056,15,2019
11,Fagner (COR),1069441,15,2019
12,Gerson (FLA),1054060,15,2019
13,Ganso (FLU),1049602,15,2019
14,Reinaldo (SAO),1032444,15,2019
15,Douglas Friedrich (BAH),943849,15,2019
16,Bruno Guimarães (ATL),903965,15,2019
17,Manoel (COR),773101,15,2019
18,Juninho (BAH),750618,15,2019
19,Soteldo (SAN),747958,15,2019
20,Bruno Henrique (FLA),721889,15,2019
1,Carlos Sánchez (SAN),2627810,16,2019
2,Eduardo Sasha (SAN),2601579,16,2019
3,Jorge (SAN),2106678,16,2019
4,Lucas Veríssimo (SAN),2078534,16,2019
5,Soteldo (SAN),1920724,16,2019
6,Jorge Sampaoli (SAN),1761845,16,2019
7,Daniel Alves (SAO),1608865,16,2019
8,Thiago Neves (CRU),1419333,16,2019
9,Pedro Rocha (CRU),1398958,16,2019
10,Thiago Galhardo (CEA),1046042,16,2019
11,Gerson (FLA),908499,16,2019
12,Cássio (COR),728629,16,2019
13,Rogério Ceni (CRU),696174,16,2019
14,Diego Souza (BOT),687133,16,2019
15,Rodrigo Caio (FLA),675668,16,2019
16,Igor Rabello (ATL),668395,16,2019
17,Gatito Fernández (BOT),641697,16,2019
18,Gabriel (FLA),609729,16,2019
19,Willian Arão (FLA),568454,16,2019
20,Antony (SAO),563110,16,2019
1,Gilberto (BAH),2591159,17,2019
2,Arrascaeta (FLA),1950857,17,2019
3,Yony González (FLU),1622779,17,2019
4,Daniel Alves (SAO),1510848,17,2019
5,Gabriel (FLA),1329911,17,2019
6,Carlos Sánchez (SAN),1239902,17,2019
7,Nino Paraíba (BAH),1211292,17,2019
8,Roger Machado  (BAH),1147712,17,2019
9,Bruno Guimarães (ATL),1137686,17,2019
10,Bruno Henrique (FLA),1114532,17,2019
11,Juninho (BAH),1088094,17,2019
12,Lucas Fonseca (BAH),929169,17,2019
13,Dedé (CRU),822343,17,2019
14,Lucas Veríssimo (SAN),783234,17,2019
15,Soteldo (SAN),751627,17,2019
16,Douglas Friedrich (BAH),672020,17,2019
17,Rodrigo Caio (FLA),627701,17,2019
18,Moisés (BAH),620122,17,2019
19,Rony (ATL),588438,17,2019
20,Pedrinho (COR),577990,17,2019
1,Gabriel (FLA),2932916,18,2019
2,Everton Ribeiro (FLA),2102939,18,2019
3,Pablo Marí (FLA),2034378,18,2019
4,Rafinha (FLA),1599484,18,2019
5,Carlos Sánchez (SAN),1509505,18,2019
6,Gerson (FLA),1499649,18,2019
7,Jorge Jesus (FLA),1371689,18,2019
8,Dudu (PAL),1259013,18,2019
9,Eduardo Sasha (SAN),1220007,18,2019
10,Filipe Luís (FLA),998262,18,2019
11,Danilo Avelar (COR),938513,18,2019
12,Lucas Veríssimo (SAN),912891,18,2019
13,Mateus Vital (COR),909788,18,2019
14,Manoel (COR),904524,18,2019
15,Diego Alves (FLA),874005,18,2019
16,Cássio (COR),822690,18,2019
17,Gil (COR),778224,18,2019
18,Marinho (SAN),726174,18,2019
19,Vitinho (FLA),698754,18,2019
20,Willian Arão (FLA),689021,18,2019
1,Gabriel (FLA),2490983,19,2019
2,Arrascaeta (FLA),2481749,19,2019
3,Everton (GRE),2315194,19,2019
4,Daniel Alves (SAO),1947594,19,2019
5,Thiago Galhardo (CEA),1579725,19,2019
6,Bruno Henrique (FLA),1299279,19,2019
7,Jean Pyerre (GRE),1195617,19,2019
8,Pedro Henrique (ATL),1119695,19,2019
9,Gilberto (BAH),1087795,19,2019
10,Reinaldo (SAO),1086896,19,2019
11,Arboleda (SAO),1028441,19,2019
12,Pablo Marí (FLA),1001980,19,2019
13,Cuca (SAO),979916,19,2019
14,David Braz (GRE),862725,19,2019
15,Douglas Friedrich (BAH),776987,19,2019
16,Rodrigo Caio (FLA),712836,19,2019
17,Tiago Volpi (SAO),708434,19,2019
18,Gerson (FLA),706095,19,2019
19,Alisson (GRE),687074,19,2019
20,Gustavo Scarpa (PAL),661193,19,2019
1,Arrascaeta (FLA),2340775,20,2019
2,Gabriel (FLA),2314017,20,2019
3,Víctor Cuesta (INT),1731787,20,2019
4,Paolo Guerrero (INT),1623965,20,2019
5,Thiago Galhardo (CEA),1603783,20,2019
6,Rodrigo Moledo (INT),1029970,20,2019
7,Bruno Henrique (FLA),998122,20,2019
8,Everton (GRE),991428,20,2019
9,Odair Hellmann (INT),982332,20,2019
10,Pablo Marí (FLA),881266,20,2019
11,Marcos Rocha (PAL),780274,20,2019
12,Edenílson (INT),699741,20,2019
13,Léo Sena (GOI),685329,20,2019
14,Diego Alves (FLA),678298,20,2019
15,Luiz Adriano (PAL),642790,20,2019
16,Jorge (SAN),597605,20,2019
17,Nico López (INT),588544,20,2019
18,Daniel Alves (SAO),584257,20,2019
19,Rafinha (FLA),581792,20,2019
20,Rodrigo Lindoso (INT),566835,20,2019
1,Everton (GRE),2649808,21,2019
2,Alisson (GRE),2165821,21,2019
3,Arrascaeta (FLA),2006112,21,2019
4,Gabriel (FLA),2002366,21,2019
5,Kannemann (GRE),1376657,21,2019
6,Dudu (PAL),1253067,21,2019
7,Gustavo Scarpa (PAL),1171901,21,2019
8,David Braz (GRE),1109831,21,2019
9,Reinaldo (SAO),1076828,21,2019
10,Daniel Alves (SAO),1031420,21,2019
11,Renato Gaúcho (GRE),914692,21,2019
12,Diogo Barbosa (PAL),882389,21,2019
13,Vitor Hugo (PAL),835344,21,2019
14,Mano Menezes (PAL),790058,21,2019
15,Gustavo Gómez (PAL),782157,21,2019
16,Douglas Friedrich (BAH),752784,21,2019
17,Thiago Galhardo (CEA),694036,21,2019
18,Bruno Guimarães (ATL),687696,21,2019
19,Bruno Henrique (PAL),670818,21,2019
20,Paulo Victor (GRE),659330,21,2019
1,Gabriel (FLA),2638850,22,2019
2,Arrascaeta (FLA),2226140,22,2019
3,Eduardo Sasha (SAN),1965837,22,2019
4,Soteldo (SAN),1905161,22,2019
5,Lucas Veríssimo (SAN),1583703,22,2019
6,Jorge Sampaoli (SAN),1211653,22,2019
7,Filipe Luís (FLA),1197229,22,2019
8,Gilberto (BAH),1143189,22,2019
9,Rony (ATL),1078705,22,2019
10,Pedrinho (COR),864114,22,2019
11,Fagner (COR),740390,22,2019
12,Pablo Marí (FLA),722628,22,2019
13,Bruno Henrique (FLA),705476,22,2019
14,Santos (ATL),702770,22,2019
15,Nikão (ATL),689498,22,2019
16,Bruno Guimarães (ATL),687449,22,2019
17,Rodrigo Caio (FLA),665893,22,2019
18,Everton Ribeiro (FLA),651319,22,2019
19,Victor Ferraz (SAN),642433,22,2019
20,Diego Alves (FLA),549105,22,2019
1,Everton (GRE),1816088,23,2019
2,Thiago Galhardo (CEA),1728094,23,2019
3,Everton Ribeiro (FLA),1684402,23,2019
4,Dudu (PAL),1519174,23,2019
5,Bruno Henrique (PAL),1427131,23,2019
6,Bruno Henrique (FLA),1328560,23,2019
7,Pablo Marí (FLA),1326759,23,2019
8,Hernanes (SAO),1231187,23,2019
9,Daniel Alves (SAO),1169266,23,2019
10,Gilberto (BAH),1038957,23,2019
11,Pablo (SAO),967688,23,2019
12,Rodrigo Caio (FLA),944976,23,2019
13,Fernando Diniz (SAO),930460,23,2019
14,Reinaldo (SAO),922465,23,2019
15,Gustavo Gómez (PAL),907191,23,2019
16,Marcos Rocha (PAL),883903,23,2019
17,Jordi (CSA),761939,23,2019
18,Willian (PAL),755753,23,2019
19,Mano Menezes (PAL),748681,23,2019
20,Jorge Jesus (FLA),663298,23,2019
1,Bruno Henrique (FLA),2373645,24,2019
2,Everton Ribeiro (FLA),2161129,24,2019
3,Luan (GRE),2094785,24,2019
4,Alisson (GRE),1784494,24,2019
5,Pedro Geromel (GRE),1467438,24,2019
6,Pablo Marí (FLA),1450054,24,2019
7,Víctor Cuesta (INT),1370415,24,2019
8,Rafinha (FLA),1216180,24,2019
9,Rodrigo Lindoso (INT),1093679,24,2019
10,Gerson (FLA),1014821,24,2019
11,David Braz (GRE),984678,24,2019
12,Patrick (INT),946549,24,2019
13,Gilberto (BAH),932804,24,2019
14,Jorge Jesus (FLA),882417,24,2019
15,Renato Gaúcho (GRE),873214,24,2019
16,Nico López (INT),706465,24,2019
17,Diego Alves (FLA),695830,24,2019
18,Bruno Cortez (GRE),689644,24,2019
19,Wellington Paulista (FOR),688462,24,2019
20,Fagner (COR),590903,24,2019
1,Thiago Galhardo (CEA),2246671,25,2019
2,Dudu (PAL),2054848,25,2019
3,Bruno Henrique (FLA),1687326,25,2019
4,Michael (GOI),1344510,25,2019
5,Bruno Henrique (PAL),1298465,25,2019
6,Rafael Vaz (GOI),1269429,25,2019
7,Marcos Rocha (PAL),1173991,25,2019
8,Mano Menezes (PAL),1125835,25,2019
9,Tadeu (GOI),1000736,25,2019
10,Everton Ribeiro (FLA),812944,25,2019
11,Pedro Geromel (GRE),794360,25,2019
12,Diogo Barbosa (PAL),704049,25,2019
13,Pablo Marí (FLA),661515,25,2019
14,Víctor Cuesta (INT),655615,25,2019
15,Luan (PAL),613926,25,2019
16,Rodrigo Lindoso (INT),611896,25,2019
17,Léo Cittadini (ATL),609824,25,2019
18,Patrick (INT),606189,25,2019
19,Gerson (FLA),530221,25,2019
20,Luan (GRE),527987,25,2019
1,Gabriel (FLA),2789754,26,2019
2,Carlos Sánchez (SAN),2012020,26,2019
3,Dudu (PAL),1814216,26,2019
4,Everton (GRE),1461268,26,2019
5,Marcos Rocha (PAL),1419693,26,2019
6,Pablo Marí (FLA),1299739,26,2019
7,Bruno Henrique (PAL),1276182,26,2019
8,Pedro Geromel (GRE),1050767,26,2019
9,Gerson (FLA),1014357,26,2019
10,Gustavo Gómez (PAL),993056,26,2019
11,Mano Menezes (PAL),916412,26,2019
12,Diogo Barbosa (PAL),887866,26,2019
13,Willian Arão (FLA),772354,26,2019
14,Rodrigo Caio (FLA),768672,26,2019
15,Patrick (INT),729245,26,2019
16,Willian (PAL),716558,26,2019
17,Jorge (SAN),679905,26,2019
18,Eduardo Sasha (SAN),678725,26,2019
19,Luan (GRE),613218,26,2019
20,Gustavo Scarpa (PAL),605458,26,2019
1,Gabriel (FLA),2453516,27,2019
2,Daniel Alves (SAO),2054344,27,2019
3,Gilberto (BAH),1964984,27,2019
4,Bruno Henrique (FLA),1742226,27,2019
5,Everton Ribeiro (FLA),1622531,27,2019
6,Víctor Cuesta (INT),1607768,27,2019
7,Fernando Diniz (SAO),1377929,27,2019
8,Patrick (INT),1341175,27,2019
9,Rodrigo Caio (FLA),1184769,27,2019
10,Alexandre Pato (SAO),1087157,27,2019
11,Jorge Jesus (FLA),946634,27,2019
12,Renê (FLA),848693,27,2019
13,Diego Alves (FLA),745258,27,2019
14,Willian Arão (FLA),737929,27,2019
15,Bruno Alves (SAO),713413,27,2019
16,Pedrinho (COR),670092,27,2019
17,Fagner (COR),648248,27,2019
18,Rafael Vaz (GOI),617282,27,2019
19,Carlos Sánchez (SAN),555492,27,2019
20,Arboleda (SAO),553702,27,2019
1,Gabriel (FLA),3055765,28,2019
2,Rodrigo Caio (FLA),2299770,28,2019
3,Bruno Henrique (FLA),2295948,28,2019
4,Pedro Geromel (GRE),1736142,28,2019
5,Everton Ribeiro (FLA),1723873,28,2019
6,Everton (GRE),1687883,28,2019
7,Jorge Jesus (FLA),1483957,28,2019
8,Rafinha (FLA),1220932,28,2019
9,Thiago Neves (CRU),1107972,28,2019
10,Reinaldo (SAO),1072486,28,2019
11,Thiago Galhardo (CEA),1061054,28,2019
12,Gerson (FLA),1027193,28,2019
13,Diego Alves (FLA),914156,28,2019
14,Diogo Barbosa (PAL),762161,28,2019
15,Alisson (GRE),709628,28,2019
16,Willian Arão (FLA),665828,28,2019
17,Bruno Henrique (PAL),635092,28,2019
18,Dudu (PAL),599547,28,2019
19,Léo Cittadini (ATL),553998,28,2019
20,Douglas Friedrich (BAH),499077,28,2019
1,Gabriel (FLA),2370929,29,2019
2,Arrascaeta (FLA),2053006,29,2019
3,Bruno Henrique (FLA),1970801,29,2019
4,Carlos Sánchez (SAN),1368377,29,2019
5,Víctor Cuesta (INT),1117283,29,2019
6,Everton (GRE),1078592,29,2019
7,Otero (ATL),1075792,29,2019
8,Réver (ATL),1068658,29,2019
9,Filipe Luís (FLA),1065943,29,2019
10,Jorge Jesus (FLA),996739,29,2019
11,Vagner Mancini (ATL),922105,29,2019
12,Pablo Marí (FLA),895022,29,2019
13,Rodrigo Caio (FLA),845496,29,2019
14,Thiago Galhardo (CEA),793239,29,2019
15,Wellington Paulista (FOR),730604,29,2019
16,Everton Ribeiro (FLA),650885,29,2019
17,Rafinha (FLA),617379,29,2019
18,Eduardo Sasha (SAN),610757,29,2019
19,Gerson (FLA),573480,29,2019
20,Guga (ATL),498125,29,2019
1,Arrascaeta (FLA),1905783,30,2019
2,Rony (ATL),1784337,30,2019
3,Bruno Henrique (FLA),1658281,30,2019
4,Rafael Vaz (GOI),1428265,30,2019
5,Carlos Sánchez (SAN),1384448,30,2019
6,Michael (GOI),1365103,30,2019
7,Jorge (SAN),1225456,30,2019
8,Dudu (PAL),1151889,30,2019
9,Everton (GRE),848920,30,2019
10,Gustavo Scarpa (PAL),836345,30,2019
11,Tadeu (GOI),764667,30,2019
12,Nikão (ATL),763637,30,2019
13,Pablo Marí (FLA),741874,30,2019
14,Reinaldo (SAO),673312,30,2019
15,Gustavo Gómez (PAL),648741,30,2019
16,Diogo Barbosa (PAL),591279,30,2019
17,Santos (ATL),581084,30,2019
18,Tiago Nunes (ATL),571548,30,2019
19,Madson (ATL),566032,30,2019
20,Rodrigo Caio (FLA),550213,30,2019
1,Everton (GRE),2424958,31,2019
2,Gabriel (FLA),2265565,31,2019
3,Arrascaeta (FLA),1923204,31,2019
4,Pedro Geromel (GRE),1454745,31,2019
5,Bruno Henrique (FLA),1401977,31,2019
6,Carlos Sánchez (SAN),1270770,31,2019
7,Alisson (GRE),1254609,31,2019
8,Jorge (SAN),962738,31,2019
9,Reinaldo (SAO),916892,31,2019
10,Rodrigo Caio (FLA),843477,31,2019
11,Diego Alves (FLA),787068,31,2019
12,Renato Gaúcho (GRE),766537,31,2019
13,Pablo Marí (FLA),725500,31,2019
14,Zé Ricardo (INT),594699,31,2019
15,Bruno Cortez (GRE),589777,31,2019
16,Nino Paraíba (BAH),573549,31,2019
17,Gerson (FLA),572341,31,2019
18,Fernando Diniz (SAO),570492,31,2019
19,Soteldo (SAN),559681,31,2019
20,Douglas Friedrich (BAH),552645,31,2019
1,Gabriel (FLA),2124033,32,2019
2,Everton (GRE),1933778,32,2019
3,Bruno Henrique (FLA),1911491,32,2019
4,Pedro Geromel (GRE),1529006,32,2019
5,Everton Ribeiro (FLA),1107610,32,2019
6,Víctor Cuesta (INT),996986,32,2019
7,Rodrigo Caio (FLA),929704,32,2019
8,Pablo Marí (FLA),894490,32,2019
9,Jorge Jesus (FLA),866925,32,2019
10,Gerson (FLA),857037,32,2019
11,Reinaldo (SAO),751128,32,2019
12,Diego Alves (FLA),741288,32,2019
13,Alisson (GRE),733971,32,2019
14,Filipe Luís (FLA),724385,32,2019
15,Carlos Sánchez (SAN),703580,32,2019
16,Apodi (CSA),637700,32,2019
17,Marcos Rocha (PAL),613032,32,2019
