Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,RB,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PE,rodada,ano
Claudinei Oliveira (TEC),Goiás,851,7,379.0,399.0,5.0,,,,,,,,,,,,,,,,,,,8,2019
Alexandre Pato (ATA),São Paulo,783,7,378.0,380.0,-88.0,4.0,2.0,,,9.0,8.0,2.0,,,,,,,,,6.0,5.0,11.0,8,2019
Diogo Silva (GOL),Ceará,950,8,374.0,500.0,29.0,,,,2.0,1.0,,,,12.0,,,,1.0,,7.0,,,2.0,8,2019
Antônio Carlos (ZAG),Palmeiras,740,3,370.0,540.0,134.0,3.0,,,2.0,1.0,,,,,,,,1.0,,,2.0,,3.0,8,2019
Michael (ATA),Goiás,633,7,366.0,550.0,82.0,6.0,1.0,,,6.0,6.0,8.0,1.0,,,,,,,,7.0,7.0,16.0,8,2019
Luan (MEI),Atlético-MG,794,7,364.0,340.0,-75.0,18.0,,1.0,,13.0,5.0,2.0,,,,,,2.0,,,14.0,,28.0,8,2019
Andrey (MEI),Vasco,622,6,363.0,620.0,77.0,9.0,1.0,,,2.0,3.0,2.0,,,,,,,,,5.0,,10.0,8,2019
Réver (ZAG),Atlético-MG,1123,6,362.0,390.0,-52.0,11.0,,,1.0,1.0,1.0,2.0,,,,,,,,,1.0,,10.0,8,2019
Igor Fernandes (LAT),Avaí,469,5,360.0,1070.0,219.0,11.0,,,2.0,5.0,,,,,,,,2.0,,,7.0,1.0,10.0,8,2019
Ralf (MEI),Corinthians,1042,7,359.0,470.0,13.0,17.0,,,,15.0,1.0,1.0,,,,,,1.0,,,8.0,,13.0,8,2019
Léo Pereira (ZAG),Athlético-PR,865,7,354.0,-160.0,-157.0,9.0,1.0,,2.0,3.0,2.0,3.0,,,,,,2.0,,,7.0,1.0,18.0,8,2019
Zeca (LAT),Internacional,656,6,353.0,200.0,-42.0,15.0,,,2.0,2.0,,,,,,,,3.0,,,6.0,,11.0,8,2019
Yago Pikachu (MEI),Vasco,994,8,352.0,370.0,6.0,7.0,1.0,,,16.0,4.0,2.0,,,,,,,,,2.0,,10.0,8,2019
Mano Menezes (TEC),Cruzeiro,984,8,352.0,495.0,61.0,,,,,,,,,,,,,,,,,,,8,2019
Arthur Caíke (ATA),Bahia,1063,6,350.0,380.0,39.0,,2.0,,,2.0,6.0,2.0,1.0,,,,,,,,5.0,2.0,9.0,8,2019
Tiago Reis (ATA),Vasco,550,3,350.0,780.0,118.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,5.0,,1.0,8,2019
Pedro Rocha (ATA),Cruzeiro,1084,6,345.0,200.0,-32.0,6.0,1.0,1.0,,9.0,1.0,3.0,,,,,,1.0,,,5.0,,19.0,8,2019
Fábio Santos (LAT),Atlético-MG,999,7,343.0,-160.0,-262.0,5.0,2.0,,1.0,7.0,1.0,,,,,,,1.0,,,7.0,,11.0,8,2019
Fernando (LAT),Botafogo,423,6,338.0,470.0,52.0,5.0,,1.0,3.0,6.0,,2.0,,,,,,1.0,,,14.0,,12.0,8,2019
Léo (ZAG),Cruzeiro,855,7,337.0,700.0,126.0,12.0,,,2.0,3.0,,,,,,,,,,,7.0,,8.0,8,2019
Tiago Nunes (TEC),Athlético-PR,881,8,335.0,-17.0,-119.0,,,,,,,,,,,,,,,,,,,8,2019
Ney Franco (TEC),Chapecoense,824,8,334.0,41.0,-40.0,,,,,,,,,,,,,,,,,,,8,2019
Tiepo (GOL),Chapecoense,1284,8,332.0,-330.0,-93.0,,,,1.0,2.0,,,,14.0,1.0,,,,,13.0,,,8.0,8,2019
Marinho (ATA),Santos,669,4,332.0,660.0,113.0,5.0,,,,5.0,3.0,3.0,1.0,,,,,1.0,,,5.0,,4.0,8,2019
Erik (ATA),Botafogo,1021,7,325.0,250.0,63.0,5.0,1.0,1.0,,19.0,4.0,3.0,,,,,,2.0,,,9.0,2.0,15.0,8,2019
Gustavo Henrique (ZAG),Santos,626,6,325.0,0.0,0.0,8.0,,,3.0,3.0,,2.0,,,,,,3.0,,,6.0,,8.0,8,2019
Cuca (TEC),São Paulo,932,8,320.0,278.0,-1.0,,,,,,,,,,,,,,,,,,,8,2019
Léo Cittadini (MEI),Athlético-PR,582,5,316.0,340.0,66.0,7.0,,,,8.0,5.0,3.0,,,,,,,,,9.0,,6.0,8,2019
Ricardinho (MEI),Ceará,538,7,314.0,190.0,-5.0,6.0,1.0,1.0,,2.0,4.0,3.0,,,,,,1.0,,,5.0,,11.0,8,2019
Lucas Romero (MEI),Cruzeiro,408,7,314.0,190.0,-29.0,18.0,,,,13.0,1.0,1.0,,,,,,2.0,,,10.0,,15.0,8,2019
Eduardo Barroca (TEC),Botafogo,817,8,313.0,518.0,34.0,,,,,,,,,,,,,,,,,,,8,2019
Caio Paulista (ATA),Avaí,308,4,312.0,290.0,30.0,7.0,,,,5.0,2.0,3.0,,,,,,,,,6.0,,9.0,8,2019
Ricardo (ZAG),Vasco,740,8,309.0,290.0,10.0,15.0,1.0,,,5.0,3.0,,,,,,,1.0,,,6.0,,19.0,8,2019
Bruno Alves (ZAG),São Paulo,786,8,306.0,1020.0,194.0,9.0,,,4.0,2.0,3.0,1.0,,,,,,1.0,,,16.0,,12.0,8,2019
Geninho (TEC),Avaí,641,8,299.0,477.0,48.0,,,,,,,,,,,,,,,,,,,8,2019
Camilo (MEI),Chapecoense,629,3,297.0,460.0,79.0,2.0,,1.0,,3.0,3.0,1.0,,,,,,,,,3.0,,9.0,8,2019
Dodô (LAT),Cruzeiro,646,4,295.0,730.0,101.0,3.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,8.0,,14.0,8,2019
Marcos Júnior (MEI),Vasco,358,3,293.0,460.0,75.0,6.0,,,,7.0,2.0,,,,,,,,,,4.0,,11.0,8,2019
Clayson (ATA),Corinthians,1003,6,292.0,70.0,-55.0,8.0,1.0,,,5.0,1.0,3.0,,,,,,,,,11.0,,13.0,8,2019
Robinho (MEI),Cruzeiro,734,6,292.0,-190.0,-2.0,10.0,1.0,1.0,,8.0,6.0,1.0,,,,,,2.0,,,12.0,,35.0,8,2019
Luiz Otávio (ZAG),Ceará,1094,8,288.0,620.0,109.0,11.0,,1.0,2.0,5.0,1.0,1.0,,,,,,2.0,,,12.0,,10.0,8,2019
Marcelo Cabo (TEC),CSA,533,8,286.0,328.0,62.0,,,,,,,,,,,,,,,,,,,8,2019
Getúlio (ATA),Avaí,751,7,285.0,750.0,141.0,8.0,,,,9.0,3.0,3.0,1.0,,,,,,,,5.0,3.0,5.0,8,2019
Everton Ribeiro (MEI),Flamengo,1115,7,284.0,-160.0,-123.0,8.0,,2.0,,13.0,2.0,,,,,,,1.0,,,4.0,1.0,19.0,8,2019
Soteldo (MEI),Santos,632,7,283.0,480.0,58.0,8.0,1.0,,,6.0,5.0,5.0,1.0,,,,,3.0,,,7.0,2.0,19.0,8,2019
Vanderlei Luxemburgo (TEC),Vasco,716,4,282.0,330.0,31.0,,,,,,,,,,,,,,,,,,,8,2019
Fernando Diniz (TEC),Fluminense,640,8,281.0,340.0,46.0,,,,,,,,,,,,,,,,,,,8,2019
Lucas Fonseca (ZAG),Bahia,570,8,280.0,420.0,-1.0,4.0,,,4.0,2.0,,1.0,,,,,,,,,2.0,,16.0,8,2019
Fernando Sobral (MEI),Ceará,608,8,278.0,570.0,121.0,16.0,,,,10.0,4.0,2.0,,,,,,1.0,,,10.0,,18.0,8,2019
Henrique (MEI),Cruzeiro,752,6,278.0,750.0,116.0,12.0,,,,5.0,3.0,1.0,,,,,,,,,10.0,,8.0,8,2019
Madson (LAT),Athlético-PR,381,4,277.0,-30.0,-111.0,6.0,,,1.0,5.0,,,,,,,,,,,6.0,,8.0,8,2019
Leonardo (LAT),Grêmio,606,7,277.0,500.0,104.0,6.0,,,3.0,1.0,2.0,4.0,,,,,,2.0,,,6.0,,15.0,8,2019
Ramires (MEI),Bahia,1105,8,276.0,-30.0,-73.0,8.0,,1.0,,5.0,4.0,2.0,,,,,,,,,2.0,1.0,5.0,8,2019
Rogério Ceni (TEC),Fortaleza,668,8,271.0,72.0,-29.0,,,,,,,,,,,,,,,,,,,8,2019
Léo Duarte (ZAG),Flamengo,440,5,270.0,740.0,126.0,8.0,,,2.0,1.0,1.0,,,,,,,2.0,,,8.0,,6.0,8,2019
Dawhan (MEI),CSA,669,6,265.0,80.0,-57.0,10.0,,,,1.0,4.0,,,,,,,,,,2.0,,6.0,8,2019
Elias (MEI),Atlético-MG,1004,7,262.0,290.0,49.0,10.0,1.0,,,6.0,2.0,2.0,1.0,,,,1.0,,,,8.0,,19.0,8,2019
Thiago Carleto (LAT),Ceará,744,4,260.0,410.0,-29.0,2.0,,,2.0,2.0,1.0,2.0,,,,,,,,,4.0,,16.0,8,2019
Didira (MEI),CSA,625,8,258.0,170.0,-7.0,14.0,,,,11.0,2.0,,,,,,,,,,6.0,,15.0,8,2019
Nico López (ATA),Internacional,1413,7,255.0,-210.0,-101.0,7.0,,,,7.0,9.0,4.0,2.0,,,,,2.0,,,8.0,4.0,14.0,8,2019
João Paulo (MEI),Botafogo,803,7,255.0,240.0,6.0,9.0,1.0,,,10.0,3.0,3.0,,,,,,2.0,,,4.0,,29.0,8,2019
Zé Rafael (MEI),Palmeiras,949,3,253.0,270.0,-15.0,3.0,,1.0,,10.0,2.0,1.0,,,,,,2.0,,,9.0,,4.0,8,2019
Romarinho (ATA),Fortaleza,377,6,250.0,-90.0,-63.0,7.0,1.0,,,9.0,,,,,,,,1.0,,,5.0,1.0,10.0,8,2019
Gabriel Dias (MEI),Fortaleza,394,7,248.0,-50.0,-72.0,13.0,,,,10.0,3.0,,,,,,,1.0,,,9.0,,10.0,8,2019
Igor Vinícius (LAT),São Paulo,650,5,246.0,0.0,0.0,8.0,,1.0,2.0,4.0,2.0,,,,,,2.0,1.0,,,9.0,,6.0,8,2019
Felipe Alves (GOL),Fortaleza,721,7,245.0,50.0,-44.0,,,,,,,,,14.0,,,,1.0,,10.0,1.0,,8.0,8,2019
Joel Carli (ZAG),Botafogo,678,7,244.0,-50.0,-102.0,10.0,,,3.0,7.0,,,,,,,,3.0,,,7.0,,23.0,8,2019
Márcio Azevedo (LAT),Athlético-PR,416,7,241.0,-490.0,-264.0,5.0,,2.0,2.0,10.0,,,,,,,,2.0,,,13.0,,17.0,8,2019
Santos (GOL),Athlético-PR,620,7,241.0,370.0,1.0,,,,2.0,1.0,,,,9.0,,,,1.0,,8.0,1.0,,7.0,8,2019
Douglas (MEI),Bahia,520,6,240.0,-160.0,-82.0,13.0,,,,6.0,2.0,3.0,,,,,,1.0,,,16.0,,11.0,8,2019
Nathan (ZAG),Fortaleza,326,3,237.0,420.0,64.0,5.0,,,,2.0,,,,,,,,,,,1.0,,3.0,8,2019
Juninho (MEI),Fortaleza,554,6,233.0,380.0,23.0,9.0,,1.0,,4.0,3.0,2.0,,,,,,1.0,,,9.0,,16.0,8,2019
Fabinho (MEI),Ceará,653,8,233.0,390.0,45.0,15.0,,,,8.0,1.0,,,,,,,1.0,,,9.0,,7.0,8,2019
Ricardo (ZAG),Avaí,415,5,232.0,210.0,16.0,6.0,,,2.0,1.0,1.0,1.0,,,,,,1.0,,,6.0,2.0,13.0,8,2019
Valdo (ZAG),Ceará,389,4,228.0,770.0,162.0,4.0,,,1.0,2.0,,1.0,,,,,,,,,4.0,,7.0,8,2019
Caio Henrique (MEI),Fluminense,585,8,228.0,530.0,76.0,14.0,,,,8.0,2.0,2.0,,,,,,,,,12.0,1.0,14.0,8,2019
Carlinhos (LAT),Fortaleza,500,7,226.0,170.0,-1.0,14.0,,,,6.0,3.0,1.0,,,,,,2.0,,,9.0,,11.0,8,2019
José Welison (MEI),Atlético-MG,460,6,225.0,50.0,-47.0,12.0,,,,4.0,4.0,,,,,,,2.0,,,6.0,,9.0,8,2019
Gerson (ZAG),CSA,475,8,223.0,150.0,46.0,6.0,,,3.0,1.0,1.0,,,,,,,1.0,,,5.0,,10.0,8,2019
Daniel Amorim (ATA),Avaí,608,6,223.0,120.0,10.0,,1.0,,,8.0,3.0,2.0,,,,,,,,,3.0,2.0,3.0,8,2019
Gustavo Campanharo (MEI),Chapecoense,367,6,222.0,130.0,-16.0,8.0,,,,5.0,3.0,1.0,,,,,,,,,6.0,,6.0,8,2019
Gum (ZAG),Chapecoense,620,8,221.0,-200.0,-82.0,3.0,1.0,,1.0,3.0,3.0,2.0,,,,,,,,,1.0,1.0,17.0,8,2019
Pedro Castro (MEI),Avaí,392,8,221.0,90.0,-48.0,12.0,,,,12.0,4.0,2.0,,,,,,,,,13.0,,18.0,8,2019
Frazan (ZAG),Fluminense,275,1,220.0,220.0,-25.0,,,,1.0,1.0,,,,,,,,1.0,,,2.0,,1.0,8,2019
Igor Rabello (ZAG),Atlético-MG,860,7,219.0,-100.0,-115.0,9.0,,,1.0,4.0,2.0,,,,,,,,,,6.0,1.0,11.0,8,2019
Betão (ZAG),Avaí,352,7,219.0,210.0,-59.0,11.0,,,2.0,9.0,,,,,,,,4.0,,,7.0,,14.0,8,2019
Maicon (MEI),Grêmio,835,4,215.0,130.0,-41.0,7.0,,1.0,,2.0,2.0,1.0,,,,,,2.0,,,5.0,,14.0,8,2019
Daniel (MEI),Fluminense,450,6,213.0,80.0,-41.0,5.0,,1.0,,9.0,2.0,3.0,,,,,,1.0,,,4.0,,18.0,8,2019
Diego Souza (ATA),Botafogo,625,7,211.0,1000.0,113.0,1.0,1.0,1.0,,9.0,4.0,2.0,1.0,,,,,1.0,,,9.0,3.0,16.0,8,2019
Vitor Bueno (MEI),São Paulo,539,5,208.0,380.0,56.0,6.0,,,,5.0,2.0,1.0,,,,,,,,,3.0,,8.0,8,2019
Gilson (LAT),Botafogo,479,5,202.0,50.0,-111.0,4.0,,,2.0,6.0,1.0,,,,,,,2.0,,,6.0,,9.0,8,2019
Patric (LAT),Atlético-MG,461,4,200.0,490.0,-3.0,2.0,,1.0,1.0,,2.0,1.0,,,,,,1.0,,,5.0,,11.0,8,2019
Júnior Urso (MEI),Corinthians,699,4,198.0,340.0,-3.0,4.0,,,,5.0,3.0,4.0,,,,,,2.0,,,4.0,,6.0,8,2019
Ganso (MEI),Fluminense,830,4,192.0,460.0,54.0,3.0,,,,5.0,5.0,3.0,,,,,,1.0,,,5.0,,8.0,8,2019
Maranhão (ATA),CSA,309,5,192.0,-90.0,-55.0,3.0,1.0,,,4.0,2.0,,,,,,,,,,6.0,1.0,10.0,8,2019
Deyverson (ATA),Palmeiras,968,3,183.0,720.0,172.0,3.0,,,,9.0,6.0,1.0,,,,,,1.0,,,7.0,5.0,5.0,8,2019
Felipe (MEI),Fortaleza,525,5,180.0,0.0,-71.0,12.0,,,,5.0,,2.0,,,,,,2.0,,,6.0,,23.0,8,2019
Nino (ZAG),Fluminense,241,7,179.0,0.0,0.0,9.0,1.0,,,6.0,,1.0,,,,,,3.0,,,9.0,,9.0,8,2019
Marlon (MEI),Fortaleza,423,4,173.0,370.0,57.0,4.0,,,,5.0,,,,,,,,,,,2.0,,2.0,8,2019
Geovane (MEI),Goiás,389,7,171.0,0.0,-94.0,13.0,,,,4.0,7.0,1.0,,,,,,1.0,,,16.0,,21.0,8,2019
Bruno Henrique (MEI),Palmeiras,1105,3,170.0,100.0,-35.0,5.0,,,,3.0,2.0,,,,,,,,,,8.0,,5.0,8,2019
Aguilar (ZAG),Santos,393,6,168.0,40.0,-55.0,4.0,,,2.0,,,,,,,,,,,,10.0,,3.0,8,2019
Bergson (ATA),Ceará,475,7,160.0,100.0,-44.0,4.0,,,,9.0,8.0,5.0,,,,,,1.0,,,10.0,4.0,9.0,8,2019
Yago Felipe (MEI),Goiás,316,4,160.0,0.0,-60.0,3.0,,1.0,,5.0,2.0,,,,,,,2.0,,,8.0,,4.0,8,2019
João Paulo (MEI),Avaí,475,8,160.0,270.0,10.0,11.0,,,,16.0,3.0,3.0,,,,,,1.0,,,17.0,,24.0,8,2019
Rossi (ATA),Vasco,463,7,159.0,150.0,40.0,4.0,,1.0,,9.0,6.0,3.0,,,,,,2.0,,,7.0,1.0,16.0,8,2019
Kieza (ATA),Fortaleza,406,6,158.0,0.0,-21.0,,,,,10.0,4.0,3.0,,,,,,,,,3.0,1.0,1.0,8,2019
Toró (ATA),São Paulo,392,7,153.0,-390.0,-141.0,5.0,1.0,,,12.0,5.0,2.0,,,,,1.0,1.0,,,12.0,,14.0,8,2019
Yago (ZAG),Goiás,315,7,152.0,-30.0,-19.0,4.0,,,2.0,2.0,,,,,,,,1.0,,,4.0,,8.0,8,2019
Arthur Gomes (ATA),Chapecoense,371,5,152.0,300.0,68.0,3.0,,,,7.0,,,1.0,,,,,,,,2.0,,8.0,8,2019
Diego Pituca (MEI),Santos,298,7,147.0,150.0,13.0,7.0,1.0,,,8.0,4.0,2.0,1.0,,,,,3.0,,,17.0,,21.0,8,2019
Michel (MEI),Grêmio,484,6,147.0,0.0,0.0,17.0,,,,,1.0,2.0,,,,2.0,,1.0,,,11.0,,8.0,8,2019
Giovanni Augusto (MEI),Goiás,424,6,137.0,600.0,109.0,8.0,,1.0,,6.0,3.0,2.0,,,,,1.0,,,,7.0,,27.0,8,2019
Elicarlos (MEI),Chapecoense,447,5,128.0,-210.0,-47.0,5.0,,,,2.0,5.0,2.0,,,,,,1.0,,,7.0,,10.0,8,2019
Elton (MEI),Bahia,458,7,125.0,80.0,-9.0,11.0,,,,,3.0,,,,,,,,,,15.0,,9.0,8,2019
Luiz Fernando (MEI),Botafogo,427,6,123.0,410.0,77.0,3.0,,,,9.0,1.0,1.0,,,,,,,,,3.0,,7.0,8,2019
Sornoza (MEI),Corinthians,389,5,120.0,-50.0,-46.0,6.0,,,,7.0,3.0,,,,,,,1.0,,,9.0,,8.0,8,2019
Ernandes (LAT),Chapecoense,186,1,120.0,120.0,-14.0,,,,,,,1.0,,,,,,,,,,,,8,2019
Sassá (ATA),Cruzeiro,580,4,118.0,180.0,24.0,,,,,3.0,2.0,3.0,,,,,,,,,3.0,1.0,,8,2019
Gustavo (ATA),Corinthians,382,3,113.0,70.0,-38.0,1.0,,,,4.0,2.0,2.0,,,,,,,,,6.0,1.0,2.0,8,2019
Cassiano (ATA),CSA,350,7,113.0,80.0,-8.0,3.0,,,,10.0,4.0,3.0,,,,,,,,,10.0,2.0,8.0,8,2019
Daniel Guedes (LAT),Goiás,377,6,112.0,-40.0,-22.0,7.0,,,1.0,5.0,1.0,1.0,,,,,,1.0,,,11.0,2.0,16.0,8,2019
Rafael Sobis (ATA),Internacional,572,5,110.0,240.0,28.0,1.0,,,,3.0,4.0,4.0,,,,,,2.0,,,3.0,,,8,2019
Fernando Miguel (GOL),Vasco,624,1,100.0,100.0,-176.0,,,,,,,,,1.0,,,,,,1.0,,,,8,2019
Kunde (ZAG),Avaí,164,3,97.0,490.0,91.0,3.0,,,1.0,,,,,,,,,1.0,,,5.0,,7.0,8,2019
Apodi (LAT),CSA,389,7,93.0,-160.0,14.0,5.0,,,2.0,6.0,1.0,1.0,,,,,,2.0,,,12.0,,20.0,8,2019
Rick (ATA),Ceará,183,3,93.0,20.0,-24.0,2.0,,,,1.0,1.0,,,,,,,,,,,,5.0,8,2019
D'Alessandro (MEI),Internacional,669,5,86.0,0.0,0.0,1.0,,1.0,,4.0,4.0,3.0,,,,,,,1.0,,,2.0,20.0,8,2019
Felipe Vizeu (ATA),Grêmio,268,8,78.0,110.0,29.0,,1.0,,,2.0,3.0,,,,,,,,,,6.0,,7.0,8,2019
Quintero (ZAG),Fortaleza,237,8,74.0,70.0,-37.0,5.0,,,,5.0,,1.0,,,,,,,,,4.0,,11.0,8,2019
Paulo André (ZAG),Athlético-PR,391,4,72.0,170.0,11.0,2.0,,,1.0,,,,,,,,,1.0,,,5.0,,2.0,8,2019
Anderson Martins (ZAG),São Paulo,354,4,63.0,560.0,87.0,3.0,,,1.0,1.0,,,,,,,,2.0,,,4.0,,5.0,8,2019
Piris da Motta (MEI),Flamengo,322,5,56.0,-80.0,-29.0,4.0,,,,4.0,,,,,,,,1.0,,,4.0,,4.0,8,2019
Ariel Cabral (MEI),Cruzeiro,309,3,40.0,320.0,79.0,3.0,,,,2.0,2.0,,,,,,,1.0,,,3.0,,8.0,8,2019
Danilo Barcelos (LAT),Vasco,375,6,38.0,210.0,12.0,8.0,,,,4.0,1.0,1.0,1.0,,,,1.0,,,,14.0,1.0,14.0,8,2019
Agenor (GOL),Fluminense,305,3,23.0,850.0,230.0,,,,1.0,2.0,,,,2.0,,,1.0,,,3.0,,,1.0,8,2019
Allan (MEI),Fluminense,174,7,22.0,-250.0,-59.0,10.0,,,,8.0,4.0,3.0,,,,,,4.0,,,17.0,,26.0,8,2019
Thonny Anderson (MEI),Athlético-PR,257,3,20.0,-160.0,-92.0,2.0,,,,3.0,1.0,1.0,,,,,,,,,5.0,2.0,8.0,8,2019
Flávio (MEI),Bahia,225,1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,8,2019
Leandro Souza (ZAG),CSA,362,1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,8,2019
Nilton (MEI),CSA,329,4,-13.0,0.0,0.0,3.0,,,,5.0,1.0,,,,,,,2.0,,,5.0,,6.0,8,2019
Felipe Melo (MEI),Palmeiras,679,2,-15.0,-50.0,-77.0,1.0,,,,4.0,3.0,,,,,,,2.0,,,2.0,,4.0,8,2019
Luan (MEI),São Paulo,288,3,-20.0,-240.0,-107.0,3.0,,,,,1.0,,,,,,,1.0,,,3.0,,8.0,8,2019
Rodinei (LAT),Flamengo,298,3,-23.0,0.0,0.0,1.0,,,,1.0,1.0,,,,,,,1.0,,,2.0,1.0,,8,2019
Bryan (LAT),Chapecoense,103,5,-32.0,-90.0,0.0,2.0,,,,4.0,1.0,1.0,,,,,,2.0,,,5.0,,7.0,8,2019
Jadson (MEI),Corinthians,359,4,-35.0,0.0,-50.0,,,1.0,,1.0,2.0,,,,,,,2.0,,,3.0,,10.0,8,2019
Marcos Calazans (ATA),São Paulo,202,2,-70.0,-10.0,8.0,2.0,,,,1.0,,,,,,,,1.0,,,4.0,,3.0,8,2019
Wellington (MEI),Athlético-PR,75,7,-131.0,-290.0,0.0,4.0,,,,2.0,,,,,,,,2.0,,,13.0,,19.0,8,2019
Marcos Rocha (LAT),Palmeiras,1899,4,1155.0,1540.0,248.0,13.0,1.0,1.0,3.0,6.0,2.0,,,,,,,,,,7.0,,8.0,9,2019
Walter (GOL),Corinthians,705,2,1060.0,70.0,-284.0,,,,1.0,1.0,,,,6.0,,,,,,1.0,,,1.0,9,2019
Diogo Barbosa (LAT),Palmeiras,1557,4,1003.0,1670.0,269.0,16.0,,,3.0,4.0,,1.0,,,,,,,,,3.0,,2.0,9,2019
Alerrandro (ATA),Atlético-MG,798,4,878.0,1350.0,132.0,3.0,2.0,1.0,,7.0,5.0,1.0,1.0,,,,,,,,2.0,1.0,2.0,9,2019
Jorge (LAT),Santos,1490,7,844.0,1000.0,146.0,11.0,,2.0,5.0,12.0,6.0,7.0,,,,,,1.0,,,11.0,1.0,12.0,9,2019
Rodriguez (ZAG),Grêmio,530,4,780.0,720.0,8.0,9.0,,1.0,3.0,1.0,,,,,,,,,,,1.0,1.0,6.0,9,2019
Thiago Galhardo (MEI),Ceará,979,6,778.0,40.0,-52.0,5.0,3.0,1.0,,9.0,5.0,6.0,1.0,,,,,,,,5.0,,20.0,9,2019
Gabriel (ATA),Flamengo,1825,7,776.0,1430.0,246.0,4.0,5.0,,,9.0,10.0,8.0,,,,,,2.0,,,4.0,6.0,16.0,9,2019
Douglas Friedrich (GOL),Bahia,1241,8,762.0,900.0,-16.0,1.0,,,4.0,2.0,,,,19.0,,,,,,9.0,,,2.0,9,2019
Cuéllar (MEI),Flamengo,1377,4,747.0,0.0,0.0,21.0,,,,3.0,1.0,1.0,,,,,,,,,6.0,,7.0,9,2019
Weverton (GOL),Palmeiras,1548,4,710.0,850.0,-18.0,,,,3.0,2.0,,,,5.0,,,,,,1.0,,,2.0,9,2019
Rony (ATA),Athlético-PR,1376,7,710.0,500.0,82.0,8.0,3.0,2.0,,16.0,6.0,5.0,,,,,,2.0,,,16.0,2.0,7.0,9,2019
Jordi (GOL),CSA,1074,9,696.0,1400.0,174.0,,,,3.0,2.0,,,,26.0,,,,2.0,,13.0,1.0,,3.0,9,2019
Everaldo (ATA),Chapecoense,1773,9,681.0,940.0,126.0,3.0,5.0,1.0,,12.0,15.0,9.0,,,,,,1.0,,,21.0,,15.0,9,2019
Everton (ATA),Grêmio,1731,6,668.0,0.0,0.0,8.0,3.0,,,4.0,4.0,3.0,,,,,,1.0,,,,,9.0,9,2019
Pedro Geromel (ZAG),Grêmio,1475,7,657.0,0.0,0.0,23.0,,,3.0,4.0,3.0,1.0,,,,,,2.0,,,3.0,,12.0,9,2019
Gustavo Gómez (ZAG),Palmeiras,1532,2,650.0,0.0,0.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,4.0,9,2019
Arrascaeta (MEI),Flamengo,1335,4,635.0,0.0,0.0,4.0,1.0,2.0,,9.0,3.0,1.0,,,,,,,,,5.0,,14.0,9,2019
Paolo Guerrero (ATA),Internacional,1450,6,633.0,0.0,0.0,4.0,3.0,,,11.0,5.0,5.0,1.0,,,,,1.0,,,7.0,4.0,10.0,9,2019
Cazares (MEI),Atlético-MG,1117,5,628.0,710.0,68.0,3.0,2.0,,,2.0,6.0,8.0,1.0,,,,,,,,3.0,,20.0,9,2019
Dudu (ATA),Palmeiras,1739,4,607.0,260.0,-78.0,2.0,1.0,,,17.0,11.0,2.0,,,,,,,,,4.0,1.0,13.0,9,2019
Jean Pyerre (MEI),Grêmio,1013,6,607.0,790.0,-20.0,7.0,2.0,1.0,,8.0,7.0,1.0,,,,,,,,,4.0,,13.0,9,2019
Kayke (ATA),Goiás,902,8,600.0,1330.0,50.0,1.0,4.0,2.0,,5.0,9.0,4.0,,,,,,1.0,,,9.0,1.0,10.0,9,2019
Moisés (LAT),Bahia,1318,7,600.0,440.0,-121.0,20.0,,1.0,3.0,3.0,5.0,1.0,,,,,,2.0,,,13.0,,14.0,9,2019
Pedro (ATA),Fluminense,1231,5,590.0,0.0,0.0,2.0,3.0,,,3.0,2.0,2.0,,,,,,,,,3.0,3.0,,9,2019
Tadeu (GOL),Goiás,1355,8,564.0,640.0,86.0,,,,2.0,3.0,,,,15.0,1.0,,,,,8.0,,,8.0,9,2019
Luiz Felipe Scolari (TEC),Palmeiras,1261,4,563.0,730.0,54.0,,,,,,,,,,,,,,,,,,,9,2019
Willian Arão (MEI),Flamengo,1323,7,559.0,180.0,-57.0,19.0,,3.0,,5.0,2.0,1.0,,,,,,,,,11.0,,14.0,9,2019
Nonato (MEI),Internacional,888,8,558.0,440.0,34.0,18.0,2.0,1.0,,6.0,2.0,2.0,,,,,,,,,14.0,,11.0,9,2019
Cícero (MEI),Botafogo,1337,9,556.0,450.0,-73.0,12.0,2.0,1.0,,27.0,4.0,2.0,,,,,,1.0,,,2.0,,17.0,9,2019
Adilson (MEI),Atlético-MG,875,5,554.0,910.0,13.0,14.0,1.0,,,4.0,2.0,,,,,,,1.0,,,4.0,,3.0,9,2019
João Pedro (ATA),Fluminense,494,6,552.0,170.0,-15.0,2.0,3.0,,,6.0,3.0,6.0,,,,,,1.0,,,5.0,1.0,5.0,9,2019
Leandro Barcia (ATA),Goiás,1068,8,551.0,1280.0,300.0,8.0,3.0,,,15.0,9.0,5.0,1.0,,,,,2.0,,,16.0,,12.0,9,2019
Jonatan Gomez (MEI),CSA,330,2,550.0,120.0,-117.0,2.0,,1.0,,8.0,1.0,2.0,,,,,,1.0,,,2.0,,4.0,9,2019
