Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,RB,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PE,rodada,ano,DS,PI
Carlos Augusto (LAT),Corinthians,4.98,7,2.83,1.3,0.17,4.0,1.0,,2.0,4.0,2.0,,,,,,,1.0,,,5.0,,11.0,19,2019,,
Paulo Miranda (ZAG),Grêmio,5.85,7,2.8,10.7,1.24,10.0,,,3.0,3.0,,1.0,,,,1.0,,1.0,,,8.0,,7.0,19,2019,,
Igor Fernandes (LAT),Avaí,4.94,15,2.8,6.4,1.01,23.0,,,5.0,10.0,2.0,,,,,,,3.0,,,17.0,2.0,29.0,19,2019,,
Argel Fucks (TEC),CSA,6.02,10,2.78,2.89,-0.18,,,,,,,,,,,,,,,,,,,19,2019,,
Jonathan (ATA),Avaí,3.9,3,2.77,6.8,1.95,1.0,1.0,,,5.0,1.0,,,,,,,,,,6.0,,5.0,19,2019,,
Pedro Castro (MEI),Avaí,5.31,19,2.76,2.2,0.16,28.0,1.0,,,25.0,9.0,6.0,1.0,,,,,,,,25.0,1.0,48.0,19,2019,,
Alan Costa (ZAG),CSA,4.4,10,2.71,-0.3,-0.97,11.0,,,4.0,3.0,3.0,1.0,,,,,,2.0,,,12.0,,15.0,19,2019,,
Orejuela (LAT),Cruzeiro,4.81,8,2.7,-1.1,-1.57,13.0,,,2.0,8.0,1.0,2.0,,,,,,1.0,,,19.0,,12.0,19,2019,,
Nenê (MEI),Fluminense,6.39,8,2.69,4.7,0.37,6.0,1.0,2.0,,10.0,5.0,3.0,,,,,1.0,,,,10.0,,27.0,19,2019,,
Romarinho (ATA),Fortaleza,5.17,16,2.67,2.6,0.21,13.0,1.0,2.0,,34.0,3.0,3.0,,,,,,1.0,,,12.0,1.0,31.0,19,2019,,
Gilberto (LAT),Fluminense,7.04,11,2.65,7.1,0.59,16.0,,1.0,2.0,9.0,5.0,2.0,,,,,,1.0,,,17.0,,34.0,19,2019,,
Zé Ricardo (TEC),Fortaleza,6.76,5,2.65,2.34,0.05,,,,,,,,,,,,,,,,,,,19,2019,,
Eduardo (LAT),Chapecoense,8.03,13,2.62,-0.1,-0.03,16.0,,1.0,4.0,18.0,,,,,,,,2.0,,,14.0,,43.0,19,2019,,
Léo Pereira (ZAG),Athlético-PR,8.04,13,2.6,0.0,0.0,11.0,1.0,,5.0,5.0,3.0,3.0,,,,,,3.0,,,16.0,1.0,32.0,19,2019,,
Lucas Barros (LAT),Botafogo,2.0,3,2.57,6.7,1.24,2.0,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,19,2019,,
Maurício Ramos (ZAG),Chapecoense,5.04,8,2.51,2.4,0.45,5.0,,,3.0,8.0,1.0,2.0,,,,,,,,,12.0,,12.0,19,2019,,
Igor Rabello (ZAG),Atlético-MG,8.09,16,2.5,0.0,0.0,24.0,,,3.0,12.0,4.0,1.0,,,,,1.0,,,,18.0,1.0,23.0,19,2019,,
Yago Pikachu (MEI),Vasco,8.83,18,2.49,0.0,0.0,15.0,2.0,1.0,,33.0,12.0,3.0,1.0,,,,,3.0,2.0,,12.0,1.0,37.0,19,2019,,
Fábio Santos (LAT),Atlético-MG,9.92,15,2.48,3.7,1.1,11.0,2.0,,3.0,14.0,1.0,1.0,,,,,,2.0,,,13.0,2.0,26.0,19,2019,,
Felippe Cardoso (ATA),Ceará,3.44,10,2.48,1.9,0.5,6.0,2.0,1.0,,14.0,5.0,7.0,,,,,,1.0,,,33.0,8.0,7.0,19,2019,,
Gustavo Scarpa (MEI),Palmeiras,3.9,11,2.46,-0.8,-2.33,4.0,2.0,1.0,,6.0,5.0,7.0,,,,,,1.0,,,8.0,,31.0,19,2019,,
Ganso (MEI),Fluminense,9.04,13,2.44,9.1,1.81,14.0,2.0,,,15.0,10.0,6.0,,,,,,4.0,,,13.0,,45.0,19,2019,,
Oswaldo Henríquez (ZAG),Vasco,3.47,12,2.44,-0.3,-0.29,11.0,,,4.0,3.0,,1.0,1.0,,,,,2.0,,,7.0,,18.0,19,2019,,
Edinho (MEI),Fortaleza,7.7,14,2.41,2.1,0.21,3.0,2.0,,,21.0,10.0,5.0,,,,,,1.0,,,8.0,1.0,16.0,19,2019,,
Janderson (ATA),Corinthians,2.38,3,2.4,7.7,1.41,2.0,,,,7.0,1.0,1.0,,,,,,,,,2.0,,1.0,19,2019,,
Ricardo (ZAG),Avaí,4.55,10,2.39,3.5,0.6,8.0,,,5.0,1.0,2.0,1.0,,,,,,2.0,,,9.0,2.0,23.0,19,2019,,
João Paulo (MEI),Botafogo,7.32,17,2.37,-2.0,-1.05,24.0,1.0,1.0,,23.0,6.0,6.0,,,,,,4.0,,,12.0,,61.0,19,2019,,
Lucca (ATA),Bahia,5.32,9,2.36,-0.8,-1.04,7.0,,,,17.0,6.0,8.0,,,,,,1.0,,,11.0,1.0,14.0,19,2019,,
Gustavo Gómez (ZAG),Palmeiras,12.0,7,2.36,2.9,0.76,6.0,1.0,,2.0,8.0,,2.0,,,,,1.0,3.0,,,7.0,,8.0,19,2019,,
Caio Henrique (MEI),Fluminense,5.8,18,2.34,1.4,0.0,32.0,,1.0,,17.0,3.0,2.0,,,,,,,,,23.0,4.0,35.0,19,2019,,
Marcelo Hermes (LAT),Goiás,3.61,6,2.33,4.2,0.51,10.0,,1.0,,6.0,3.0,1.0,,,,,,2.0,,,7.0,,17.0,19,2019,,
Luciano Castán (ZAG),CSA,5.26,16,2.31,-1.0,-0.96,18.0,,,7.0,3.0,1.0,,,,,,,6.0,,,14.0,,28.0,19,2019,,
Talles Magno (ATA),Vasco,3.23,9,2.31,8.9,2.03,3.0,2.0,,,15.0,8.0,4.0,,,,,,3.0,,,17.0,,13.0,19,2019,,
Betão (ZAG),Avaí,4.82,16,2.29,7.2,1.78,24.0,,,4.0,16.0,2.0,,,,,,1.0,4.0,,,13.0,,32.0,19,2019,,
Gilberto (MEI),Goiás,3.29,4,2.28,5.9,0.66,8.0,,,,1.0,2.0,1.0,,,,,,1.0,,,6.0,,4.0,19,2019,,
Fred (ATA),Cruzeiro,5.98,15,2.25,1.3,-1.52,3.0,3.0,2.0,,20.0,6.0,7.0,1.0,,,,,4.0,,,17.0,9.0,33.0,19,2019,,
Yago Felipe (MEI),Goiás,3.9,13,2.25,-0.1,-0.53,23.0,,1.0,,17.0,2.0,,1.0,,,,,5.0,,,17.0,1.0,21.0,19,2019,,
Augusto (MEI),Chapecoense,4.56,11,2.2,4.1,0.63,10.0,,2.0,,13.0,3.0,8.0,,,,,,,,,24.0,3.0,19.0,19,2019,,
Matheus Jesus (MEI),Corinthians,4.92,4,2.2,0.0,0.0,5.0,,,,7.0,,,,,,,,,,,1.0,1.0,4.0,19,2019,,
João Lucas (LAT),Ceará,10.21,16,2.19,6.7,1.86,18.0,1.0,,3.0,8.0,2.0,3.0,,,,1.0,,1.0,,,8.0,4.0,37.0,19,2019,,
Digão (ZAG),Fluminense,5.84,7,2.16,3.7,-0.04,11.0,,,2.0,6.0,1.0,,,,,,1.0,1.0,,,10.0,1.0,9.0,19,2019,,
Tchê Tchê (MEI),São Paulo,5.13,17,2.15,2.4,0.1,22.0,1.0,,,25.0,7.0,7.0,,,,,,4.0,,,21.0,,41.0,19,2019,,
Marcos Júnior (MEI),Vasco,4.19,12,2.13,4.5,1.15,18.0,1.0,,,19.0,5.0,3.0,1.0,,,,,4.0,,,22.0,,35.0,19,2019,,
Flávio (MEI),Bahia,3.7,11,2.11,5.2,0.76,22.0,,,,9.0,,1.0,,,,,,1.0,,,15.0,1.0,18.0,19,2019,,
Michel (MEI),Grêmio,5.32,11,2.09,5.4,0.62,28.0,,,,1.0,4.0,3.0,,,,2.0,,1.0,,,19.0,,16.0,19,2019,,
Fabinho (MEI),Ceará,7.1,18,2.08,8.2,1.32,39.0,,,,15.0,2.0,,,,,,,4.0,,,30.0,,24.0,19,2019,,
Tinga (LAT),Fortaleza,1.54,11,2.05,-0.6,-0.06,7.0,1.0,2.0,1.0,5.0,2.0,,,,,,,,,,5.0,,42.0,19,2019,,
Cleiton (GOL),Atlético-MG,1.81,9,2.02,-3.3,-1.2,,,,2.0,,,,,10.0,,,,,,10.0,,,6.0,19,2019,,
Diego Tardelli (ATA),Grêmio,8.12,14,2.01,1.2,-1.04,7.0,2.0,,,11.0,4.0,11.0,,,,,,,1.0,,10.0,4.0,31.0,19,2019,,
Vitor Hugo (ZAG),Palmeiras,6.7,4,2.0,5.2,0.92,3.0,,,1.0,1.0,1.0,1.0,,,,,,,,,3.0,2.0,5.0,19,2019,,
Gregore (MEI),Bahia,9.39,16,2.0,-0.7,-0.6,50.0,,,,11.0,4.0,1.0,,,,,1.0,3.0,,,55.0,,48.0,19,2019,,
Bruno Henrique (MEI),Palmeiras,10.95,12,1.98,8.2,0.82,13.0,2.0,,,13.0,3.0,1.0,,,,,,1.0,,,26.0,,23.0,19,2019,,
Osvaldo (ATA),Fortaleza,5.87,16,1.98,5.8,0.61,6.0,2.0,3.0,,5.0,4.0,4.0,,,,,1.0,1.0,,,13.0,,18.0,19,2019,,
Daniel Guedes (LAT),Goiás,4.5,13,1.96,0.7,0.19,18.0,,,3.0,6.0,2.0,1.0,,,,,,1.0,,,19.0,2.0,33.0,19,2019,,
Gabriel Dias (MEI),Fortaleza,4.8,16,1.96,5.0,0.57,22.0,,,,22.0,4.0,4.0,,,,,,3.0,,,18.0,1.0,17.0,19,2019,,
Gum (ZAG),Chapecoense,6.1,18,1.93,0.0,0.0,10.0,1.0,,4.0,13.0,7.0,6.0,,,,1.0,1.0,,,,8.0,2.0,41.0,19,2019,,
Léo (ZAG),Cruzeiro,6.34,13,1.92,-1.9,-0.42,15.0,,,3.0,4.0,,,,,,,,1.0,,,16.0,,15.0,19,2019,,
Apodi (LAT),CSA,5.16,17,1.88,4.6,0.07,10.0,1.0,,5.0,18.0,4.0,4.0,,,,,,3.0,,,30.0,3.0,35.0,19,2019,,
Patric (LAT),Atlético-MG,3.63,11,1.87,-1.2,-0.56,12.0,,1.0,3.0,3.0,5.0,2.0,,,,,,3.0,,,20.0,,31.0,19,2019,,
Richard (MEI),Vasco,4.56,12,1.87,3.0,0.24,20.0,,,,14.0,3.0,1.0,,,,,,3.0,,,14.0,,17.0,19,2019,,
Tiago Alves (ZAG),Ceará,6.31,10,1.8,6.0,1.4,7.0,1.0,,2.0,1.0,2.0,,,,,,,1.0,,,9.0,2.0,17.0,19,2019,,
Gustavo (ATA),Corinthians,4.03,8,1.79,2.9,0.41,2.0,1.0,,,8.0,5.0,2.0,,,,,,,,,11.0,2.0,2.0,19,2019,,
Elias (MEI),Atlético-MG,9.17,16,1.68,4.4,0.65,22.0,1.0,1.0,,13.0,3.0,3.0,1.0,,,,1.0,2.0,,,22.0,,49.0,19,2019,,
Dawhan (MEI),CSA,5.92,15,1.68,-0.8,-0.26,22.0,,,,7.0,6.0,,,,,,,2.0,,,14.0,,17.0,19,2019,,
Rafael Santos (LAT),Cruzeiro,0.9,2,1.65,-1.7,-0.91,,,,1.0,,,1.0,,,,,,1.0,,,,,3.0,19,2019,,
Khellven (LAT),Athlético-PR,1.25,2,1.65,0.0,0.0,4.0,,,,,,,,,,,,,,,3.0,,4.0,19,2019,,
Naldo (MEI),CSA,3.87,16,1.63,4.1,0.54,24.0,,1.0,,8.0,5.0,2.0,,,,,,3.0,,,21.0,2.0,26.0,19,2019,,
Quintero (ZAG),Fortaleza,3.11,19,1.63,-0.6,-0.67,13.0,1.0,,3.0,6.0,1.0,1.0,,,,,,2.0,,,9.0,,27.0,19,2019,,
Willian (ATA),Palmeiras,6.94,6,1.6,0.2,-1.26,2.0,1.0,,,5.0,,2.0,,,,,,1.0,,,4.0,1.0,6.0,19,2019,,
Luiz Fernando (MEI),Botafogo,4.15,17,1.52,0.7,0.11,8.0,1.0,,,20.0,6.0,4.0,1.0,,,,,2.0,,,10.0,2.0,22.0,19,2019,,
Matheus Henrique (MEI),Grêmio,3.6,9,1.5,0.9,-0.63,12.0,,1.0,,12.0,1.0,2.0,,,,,,3.0,,,11.0,,24.0,19,2019,,
Diego Pituca (MEI),Santos,3.51,17,1.48,0.0,0.0,21.0,1.0,,,18.0,10.0,6.0,2.0,,,,,6.0,,,39.0,,44.0,19,2019,,
Arboleda (ZAG),São Paulo,5.88,11,1.46,-0.3,-0.23,10.0,,,3.0,7.0,3.0,,,,,,,3.0,,,14.0,1.0,21.0,19,2019,,
Liziero (MEI),São Paulo,3.82,8,1.46,-1.0,-0.23,11.0,,,,8.0,2.0,1.0,,,,,,1.0,,,9.0,,17.0,19,2019,,
David (ATA),Cruzeiro,5.1,17,1.45,2.8,0.83,8.0,,2.0,,13.0,11.0,8.0,,,,,,1.0,,,22.0,4.0,24.0,19,2019,,
Jackson (ZAG),Fortaleza,4.58,5,1.4,2.4,0.65,2.0,,,1.0,3.0,2.0,1.0,,,,,,,,,3.0,1.0,11.0,19,2019,,
Everton (MEI),São Paulo,6.89,14,1.38,0.4,-0.41,14.0,1.0,2.0,,18.0,2.0,3.0,,,,,,3.0,,,31.0,7.0,29.0,19,2019,,
Bustamante (ATA),CSA,3.08,6,1.35,9.7,2.31,3.0,1.0,,,9.0,2.0,1.0,,,,,,1.0,,,14.0,,9.0,19,2019,,
Luiz Adriano (ATA),Palmeiras,5.83,4,1.33,4.2,1.12,1.0,,1.0,,5.0,1.0,1.0,,,,,,,,,8.0,1.0,4.0,19,2019,,
Ramón Martínez (MEI),Atlético-MG,4.07,6,1.28,1.7,0.18,8.0,,,,3.0,,,,,,,,1.0,,,3.0,1.0,6.0,19,2019,,
Aylon (ATA),Chapecoense,2.38,9,1.26,-0.5,-0.72,5.0,,1.0,,8.0,1.0,1.0,,,,,,2.0,,,4.0,,4.0,19,2019,,
D'Alessandro (MEI),Internacional,6.49,9,1.25,0.0,0.0,1.0,1.0,1.0,,6.0,4.0,5.0,,,,,,,1.0,,,3.0,33.0,19,2019,,
Frazan (ZAG),Fluminense,2.62,5,1.24,5.0,0.17,,,,3.0,1.0,,,,,,,1.0,1.0,,,4.0,,1.0,19,2019,,
João Vitor (MEI),CSA,4.67,7,1.23,1.5,0.26,18.0,,,,3.0,,,,,,,,4.0,,,15.0,1.0,13.0,19,2019,,
Felipe Melo (MEI),Palmeiras,6.23,8,1.23,3.3,0.05,9.0,1.0,,,12.0,9.0,2.0,,,,,1.0,5.0,,,15.0,,16.0,19,2019,,
Elicarlos (MEI),Chapecoense,4.15,7,1.09,-1.5,-1.04,7.0,,,,5.0,6.0,2.0,,,,,,2.0,,,10.0,,12.0,19,2019,,
Guerra (MEI),Bahia,3.57,6,1.02,0.5,0.18,2.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,6.0,,8.0,19,2019,,
Marquinhos Gabriel (MEI),Cruzeiro,3.16,13,0.85,-1.3,-0.39,8.0,,,,11.0,3.0,4.0,,,,,,2.0,,,8.0,1.0,17.0,19,2019,,
Rossi (ATA),Vasco,3.61,13,0.77,0.2,-0.19,8.0,,1.0,,16.0,10.0,6.0,,,,,,5.0,,,20.0,1.0,32.0,19,2019,,
Éderson (MEI),Cruzeiro,1.0,4,0.68,-4.7,-0.79,3.0,,,,5.0,1.0,1.0,1.0,,,,,1.0,,,8.0,,11.0,19,2019,,
Rafael Moura (ATA),Goiás,3.26,6,0.48,-0.5,-0.53,2.0,,,,4.0,2.0,1.0,,,,,,,,,7.0,1.0,3.0,19,2019,,
Alecsandro (ATA),CSA,4.02,9,0.46,1.8,0.23,1.0,1.0,,,5.0,7.0,4.0,,,,,,1.0,1.0,,14.0,4.0,11.0,19,2019,,
Leonardo Valencia (MEI),Botafogo,3.46,6,0.45,0.7,-0.49,1.0,,1.0,,1.0,4.0,1.0,,,,,,2.0,,,3.0,1.0,9.0,19,2019,,
Allan (MEI),Fluminense,2.32,14,0.27,4.9,0.89,14.0,,1.0,,18.0,8.0,6.0,,,,,1.0,6.0,,,30.0,,43.0,19,2019,,
Yuri Lima (MEI),Fluminense,1.45,10,-0.09,-1.8,-0.25,10.0,,,,4.0,2.0,1.0,,,,,,4.0,,,17.0,,14.0,19,2019,,
Luan Peres (ZAG),Santos,2.99,1,-0.4,-0.4,-1.01,1.0,,,,,,,,,,,,,,,2.0,,3.0,19,2019,,
Wellington (MEI),Athlético-PR,0.77,13,-1.16,0.0,0.0,8.0,,,,3.0,1.0,,,,,,,5.0,,,22.0,,28.0,19,2019,,
Arrascaeta (MEI),Flamengo,18.05,12,11.63,11.6,1.82,19.0,9.0,7.0,,26.0,9.0,5.0,,,,,,1.0,,,13.0,,46.0,20,2019,,
Gabriel (ATA),Flamengo,21.5,16,10.8,11.1,0.51,5.0,17.0,3.0,,15.0,20.0,17.0,,,,,,5.0,,,10.0,9.0,34.0,20,2019,,
Pablo (ATA),São Paulo,14.42,3,8.03,9.2,0.81,1.0,2.0,,,3.0,6.0,1.0,1.0,,,,,,,,3.0,3.0,3.0,20,2019,,
Gilberto (ATA),Bahia,17.36,16,7.49,9.7,0.45,11.0,11.0,2.0,,11.0,12.0,6.0,,,,,,,,,15.0,6.0,22.0,20,2019,,
Everton (ATA),Grêmio,19.05,16,7.36,18.6,1.17,21.0,8.0,3.0,,11.0,10.0,6.0,1.0,,,,,2.0,,,9.0,,26.0,20,2019,,
Douglas Friedrich (GOL),Bahia,13.44,19,7.27,-1.0,-0.53,1.0,,,10.0,5.0,,,,37.0,1.0,,,,,16.0,,,6.0,20,2019,,
Jordi (GOL),CSA,14.46,19,7.27,23.0,3.8,,,,7.0,3.0,,,,49.0,2.0,,,4.0,,23.0,2.0,,14.0,20,2019,,
Reinaldo (LAT),São Paulo,14.72,18,6.82,4.2,-1.65,32.0,4.0,1.0,7.0,22.0,14.0,6.0,,,,,,3.0,,,19.0,,38.0,20,2019,,
Jorge (LAT),Santos,15.03,16,6.67,5.4,0.69,28.0,1.0,4.0,7.0,25.0,9.0,7.0,,,,,,3.0,,,21.0,1.0,31.0,20,2019,,
Thiago Galhardo (MEI),Ceará,11.29,17,6.44,-0.7,-0.17,17.0,8.0,1.0,,25.0,13.0,14.0,1.0,,,,,2.0,,,17.0,4.0,44.0,20,2019,,
Eduardo Sasha (ATA),Santos,17.67,19,6.41,3.7,0.15,23.0,8.0,1.0,,15.0,14.0,11.0,2.0,,,,,1.0,,,14.0,2.0,33.0,20,2019,,
Daniel Alves (LAT),São Paulo,15.53,5,6.34,3.1,-0.28,8.0,1.0,,2.0,10.0,5.0,2.0,1.0,,,,,,,,13.0,1.0,19.0,20,2019,,
Víctor Cuesta (ZAG),Internacional,15.01,14,6.24,10.3,0.5,45.0,,,7.0,14.0,,,,,,,,4.0,,,12.0,,27.0,20,2019,,
Dudu (ATA),Palmeiras,18.02,13,6.2,0.0,0.0,7.0,5.0,,,53.0,15.0,11.0,,,,,,2.0,,,9.0,4.0,37.0,20,2019,,
Rodrigo Lindoso (MEI),Internacional,11.35,12,6.15,13.0,0.0,31.0,3.0,1.0,,6.0,6.0,5.0,,,,,,1.0,,,12.0,,25.0,20,2019,,
Bruno Henrique (ATA),Flamengo,19.0,18,6.09,2.7,-0.29,8.0,7.0,2.0,,41.0,23.0,16.0,2.0,,,,,5.0,,,25.0,4.0,26.0,20,2019,,
Diogo Barbosa (LAT),Palmeiras,14.22,12,6.07,8.1,0.36,37.0,,,5.0,13.0,2.0,2.0,,,,,,2.0,,,18.0,,17.0,20,2019,,
Jorge Jesus (TEC),Flamengo,14.49,11,5.9,4.36,-0.24,,,,,,,,,,,,,,,,,,,20,2019,,
Filipe Luís (LAT),Flamengo,13.77,7,5.89,9.6,0.58,26.0,,,3.0,2.0,,,,,,,,,,,15.0,,21.0,20,2019,,
Yony González (ATA),Fluminense,12.38,16,5.8,2.0,0.08,15.0,4.0,,,28.0,26.0,12.0,2.0,,,,,1.0,,,16.0,4.0,16.0,20,2019,,
Alisson (MEI),Grêmio,8.08,10,5.76,5.5,-1.31,11.0,2.0,5.0,,18.0,4.0,6.0,,,,,,4.0,,,13.0,,16.0,20,2019,,
Carlinhos (LAT),CSA,9.64,16,5.71,13.4,1.6,25.0,2.0,,7.0,13.0,7.0,6.0,,,,,,,,,7.0,,43.0,20,2019,,
Nino Paraíba (LAT),Bahia,12.23,15,5.63,-0.7,-0.76,24.0,1.0,3.0,7.0,21.0,4.0,4.0,,,,,,4.0,,,19.0,,35.0,20,2019,,
Moisés (LAT),Bahia,13.83,16,5.5,6.9,1.01,47.0,,1.0,7.0,8.0,9.0,4.0,,,,,1.0,4.0,,,31.0,1.0,32.0,20,2019,,
Lima (MEI),Ceará,6.7,7,5.39,9.1,1.45,15.0,,1.0,,14.0,6.0,9.0,,,,,,2.0,,,7.0,2.0,13.0,20,2019,,
Carlos Sánchez (MEI),Santos,13.76,19,5.34,5.1,0.09,21.0,6.0,3.0,,40.0,11.0,12.0,2.0,,,,,2.0,1.0,,26.0,4.0,65.0,20,2019,,
Dedé (ZAG),Cruzeiro,15.9,14,5.28,0.0,0.0,23.0,2.0,,5.0,15.0,6.0,4.0,,,,,,2.0,,,11.0,,31.0,20,2019,,
Tadeu (GOL),Goiás,14.52,18,5.25,7.4,0.13,,,,5.0,5.0,,,,38.0,1.0,,,,,25.0,,,14.0,20,2019,,
Gatito Fernández (GOL),Botafogo,9.87,17,5.22,7.7,-0.43,,,,7.0,4.0,,,,31.0,,,,3.0,,16.0,,,11.0,20,2019,,
Pablo Marí (ZAG),Flamengo,7.05,9,5.21,1.8,-0.49,16.0,2.0,,4.0,1.0,1.0,,,,,,,2.0,,,12.0,1.0,13.0,20,2019,,
Jefferson (LAT),Goiás,12.81,18,5.11,10.7,1.57,42.0,1.0,1.0,5.0,22.0,3.0,1.0,,,,,,2.0,,,13.0,,43.0,20,2019,,
Tiago Volpi (GOL),São Paulo,10.54,19,5.06,0.7,0.28,,,,7.0,7.0,,,,30.0,,,,,,14.0,,,14.0,20,2019,,
Bruno (LAT),Internacional,6.5,5,5.04,10.6,1.12,7.0,,,4.0,5.0,1.0,,,,,,,1.0,,,6.0,,12.0,20,2019,,
Léo Sena (MEI),Goiás,7.83,15,5.03,0.9,-0.89,46.0,,1.0,,53.0,5.0,1.0,,,,,1.0,4.0,,,11.0,,39.0,20,2019,,
Jonathan (ATA),Avaí,6.22,4,5.03,11.8,2.32,2.0,2.0,,,8.0,4.0,,,,,,,,,,8.0,,7.0,20,2019,,
Rodrigo Moledo (ZAG),Internacional,7.65,8,5.02,8.9,1.1,12.0,1.0,,3.0,2.0,1.0,2.0,,,,,,1.0,,,3.0,,5.0,20,2019,,
Rafael Vaz (ZAG),Goiás,13.14,13,5.0,12.9,2.04,14.0,4.0,,4.0,6.0,5.0,4.0,,,,1.0,,,,,4.0,,43.0,20,2019,,
João Pedro (ATA),Fluminense,6.51,14,4.96,5.6,0.43,10.0,4.0,1.0,,14.0,12.0,15.0,,,,,,1.0,,,14.0,5.0,19.0,20,2019,,
Rony (ATA),Athlético-PR,11.42,13,4.93,-4.0,-1.67,10.0,4.0,2.0,,27.0,17.0,10.0,1.0,,,,,4.0,,,33.0,5.0,27.0,20,2019,,
Diego Alves (GOL),Flamengo,7.15,16,4.88,0.6,-0.73,2.0,,,6.0,2.0,,,,21.0,2.0,,,,,15.0,,,10.0,20,2019,,
Marcelo Lomba (GOL),Internacional,12.05,17,4.84,8.5,0.13,,,,7.0,5.0,,,,25.0,,,,,,15.0,,,1.0,20,2019,,
Pedro Henrique (ZAG),Athlético-PR,8.93,12,4.79,1.7,-0.77,15.0,,,6.0,12.0,3.0,2.0,,,,,,,,,2.0,,16.0,20,2019,,
Willian Arão (MEI),Flamengo,13.72,18,4.77,3.6,0.31,40.0,1.0,5.0,,11.0,9.0,4.0,1.0,,,,,1.0,,,27.0,,41.0,20,2019,,
Uendel (LAT),Internacional,4.56,7,4.74,8.7,1.17,17.0,,,3.0,2.0,3.0,1.0,,,,,,,,,10.0,3.0,18.0,20,2019,,
Paolo Guerrero (ATA),Internacional,12.16,9,4.74,2.4,-0.49,5.0,3.0,,,14.0,12.0,7.0,1.0,,,,,1.0,,,13.0,7.0,16.0,20,2019,,
Bruno Guimarães (MEI),Athlético-PR,12.51,13,4.72,3.1,0.07,17.0,2.0,1.0,,44.0,8.0,7.0,1.0,,,,,1.0,,,22.0,,40.0,20,2019,,
Santos (GOL),Athlético-PR,8.41,14,4.71,7.7,0.1,,,,6.0,4.0,,,,20.0,1.0,,,1.0,,13.0,1.0,,15.0,20,2019,,
Jorge Sampaoli (TEC),Santos,12.44,20,4.64,2.66,0.23,,,,,,,,,,,,,,,,,,,20,2019,,
Vladimir (GOL),Avaí,8.05,19,4.6,8.5,-0.6,,,,6.0,2.0,,,,35.0,,,,2.0,,22.0,,,2.0,20,2019,,
Odair Hellmann (TEC),Internacional,11.66,20,4.53,7.0,0.35,,,,,,,,,,,,,,,,,,,20,2019,,
Renato Gaúcho (TEC),Grêmio,12.91,20,4.47,8.57,0.06,,,,,,,,,,,,,,,,,,,20,2019,,
Paulo Victor (GOL),Grêmio,7.09,13,4.44,9.0,0.4,,,,6.0,1.0,,,,18.0,,,,1.0,,11.0,,,9.0,20,2019,,
Kannemann (ZAG),Grêmio,13.05,6,4.43,8.7,0.47,14.0,1.0,,2.0,11.0,,,,,,,,4.0,,,15.0,,8.0,20,2019,,
Rafinha (LAT),Flamengo,8.8,9,4.41,-1.8,-1.62,13.0,,3.0,4.0,11.0,,,,,,,,4.0,,,15.0,,16.0,20,2019,,
Madson (LAT),Athlético-PR,6.76,12,4.37,8.6,1.09,16.0,2.0,,4.0,14.0,1.0,1.0,,,,,,1.0,,,11.0,1.0,29.0,20,2019,,
Victor Ferraz (LAT),Santos,10.05,17,4.32,1.8,-0.53,25.0,,1.0,8.0,12.0,5.0,5.0,,,,,,3.0,,,9.0,1.0,47.0,20,2019,,
Ricardinho (MEI),Ceará,7.33,17,4.31,0.0,0.0,27.0,1.0,4.0,,5.0,14.0,13.0,,,,,,1.0,,,20.0,,42.0,20,2019,,
David Braz (ZAG),Grêmio,8.32,9,4.3,6.5,-0.37,10.0,1.0,,3.0,1.0,4.0,1.0,,,,,,,,,3.0,,9.0,20,2019,,
Gerson (MEI),Flamengo,9.57,10,4.29,8.2,0.75,16.0,1.0,1.0,,36.0,3.0,1.0,2.0,,,,,1.0,,,21.0,,31.0,20,2019,,
Roger Machado (TEC),Bahia,11.15,20,4.28,1.72,-0.18,,,,,,,,,,,,,,,,,,,20,2019,,
Antony (ATA),São Paulo,11.41,14,4.28,3.4,0.41,13.0,1.0,2.0,,37.0,9.0,12.0,2.0,,,,1.0,1.0,,,9.0,,41.0,20,2019,,
Lucas Veríssimo (ZAG),Santos,8.99,18,4.26,-1.2,-0.55,41.0,1.0,,7.0,12.0,7.0,2.0,2.0,,,,1.0,5.0,,,36.0,1.0,47.0,20,2019,,
Michael (ATA),Goiás,8.52,19,4.13,9.0,1.03,20.0,3.0,,,25.0,16.0,16.0,2.0,,,,,1.0,,,14.0,9.0,42.0,20,2019,,
Wellington Paulista (ATA),Fortaleza,9.86,15,4.09,0.0,0.0,6.0,5.0,1.0,,22.0,11.0,13.0,1.0,,,,,3.0,,,30.0,6.0,23.0,20,2019,,
Jonatan Gomez (MEI),CSA,4.4,12,4.08,-0.6,-2.21,11.0,2.0,2.0,,33.0,10.0,7.0,,,,,,4.0,,,16.0,1.0,33.0,20,2019,,
Marcinho (LAT),Botafogo,6.86,14,3.99,1.5,-0.69,12.0,1.0,2.0,5.0,9.0,10.0,5.0,,,,,,2.0,,,18.0,1.0,34.0,20,2019,,
Egídio (LAT),Cruzeiro,8.89,11,3.97,3.2,0.51,20.0,,1.0,3.0,10.0,2.0,3.0,,,,,,,,,11.0,1.0,35.0,20,2019,,
