Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,RB,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PE,rodada,ano,DS,PI
Michel (MEI),Grêmio,4.84,6,1.47,0.0,0.0,17.0,,,,,1.0,2.0,,,,2.0,,1.0,,,11.0,,8.0,8,2019,,
Giovanni Augusto (MEI),Goiás,4.24,6,1.37,6.0,1.09,8.0,,1.0,,6.0,3.0,2.0,,,,,1.0,,,,7.0,,27.0,8,2019,,
Elicarlos (MEI),Chapecoense,4.47,5,1.28,-2.1,-0.47,5.0,,,,2.0,5.0,2.0,,,,,,1.0,,,7.0,,10.0,8,2019,,
Elton (MEI),Bahia,4.58,7,1.25,0.8,-0.09,11.0,,,,,3.0,,,,,,,,,,15.0,,9.0,8,2019,,
Luiz Fernando (MEI),Botafogo,4.27,6,1.23,4.1,0.77,3.0,,,,9.0,1.0,1.0,,,,,,,,,3.0,,7.0,8,2019,,
Sornoza (MEI),Corinthians,3.89,5,1.2,-0.5,-0.46,6.0,,,,7.0,3.0,,,,,,,1.0,,,9.0,,8.0,8,2019,,
Ernandes (LAT),Chapecoense,1.86,1,1.2,1.2,-0.14,,,,,,,1.0,,,,,,,,,,,,8,2019,,
Sassá (ATA),Cruzeiro,5.8,4,1.18,1.8,0.24,,,,,3.0,2.0,3.0,,,,,,,,,3.0,1.0,,8,2019,,
Gustavo (ATA),Corinthians,3.82,3,1.13,0.7,-0.38,1.0,,,,4.0,2.0,2.0,,,,,,,,,6.0,1.0,2.0,8,2019,,
Cassiano (ATA),CSA,3.5,7,1.13,0.8,-0.08,3.0,,,,10.0,4.0,3.0,,,,,,,,,10.0,2.0,8.0,8,2019,,
Daniel Guedes (LAT),Goiás,3.77,6,1.12,-0.4,-0.22,7.0,,,1.0,5.0,1.0,1.0,,,,,,1.0,,,11.0,2.0,16.0,8,2019,,
Rafael Sobis (ATA),Internacional,5.72,5,1.1,2.4,0.28,1.0,,,,3.0,4.0,4.0,,,,,,2.0,,,3.0,,,8,2019,,
Fernando Miguel (GOL),Vasco,6.24,1,1.0,1.0,-1.76,,,,,,,,,1.0,,,,,,1.0,,,,8,2019,,
Kunde (ZAG),Avaí,1.64,3,0.97,4.9,0.91,3.0,,,1.0,,,,,,,,,1.0,,,5.0,,7.0,8,2019,,
Apodi (LAT),CSA,3.89,7,0.93,-1.6,0.14,5.0,,,2.0,6.0,1.0,1.0,,,,,,2.0,,,12.0,,20.0,8,2019,,
Rick (ATA),Ceará,1.83,3,0.93,0.2,-0.24,2.0,,,,1.0,1.0,,,,,,,,,,,,5.0,8,2019,,
D'Alessandro (MEI),Internacional,6.69,5,0.86,0.0,0.0,1.0,,1.0,,4.0,4.0,3.0,,,,,,,1.0,,,2.0,20.0,8,2019,,
Felipe Vizeu (ATA),Grêmio,2.68,8,0.78,1.1,0.29,,1.0,,,2.0,3.0,,,,,,,,,,6.0,,7.0,8,2019,,
Quintero (ZAG),Fortaleza,2.37,8,0.74,0.7,-0.37,5.0,,,,5.0,,1.0,,,,,,,,,4.0,,11.0,8,2019,,
Paulo André (ZAG),Athlético-PR,3.91,4,0.72,1.7,0.11,2.0,,,1.0,,,,,,,,,1.0,,,5.0,,2.0,8,2019,,
Anderson Martins (ZAG),São Paulo,3.54,4,0.63,5.6,0.87,3.0,,,1.0,1.0,,,,,,,,2.0,,,4.0,,5.0,8,2019,,
Piris da Motta (MEI),Flamengo,3.22,5,0.56,-0.8,-0.29,4.0,,,,4.0,,,,,,,,1.0,,,4.0,,4.0,8,2019,,
